text	label
一分都不想给，连个快递都不会送，第二次送到家，要是别人不告诉我几别人百块钱就白花了	0
优点忒多了,不用多介绍了.	1
京东东西非常好，物流也非常给力，送货小哥服务很热情，希望京东越来越好，赞一个?！	1
一半以上都有点小问题，有几个不能吃。	0
性价比高，毕竟华为也是国内名牌。	1
物流超级快。快递大哥态度很好的哟，打开快递真的是没有失望，和我想象中的一样，男票穿的很显瘦！牛仔裤控！满意极了，裤子男票穿走了，没办法上图，总之很好评	1
收到的苹果与图片不符，很小，并且一盒中有5个坏的。	0
发热量也太大了吧，刚开机没多久，仅上网，机器就很热了，gpu就没有下过50度，cp一直44度以上，不知道是正常的还是我的这台有问题，希望有人指教一下~	0
买了两条，这条裤子码数偏大了！	0
手感冷冰冰的，除了小点好像没问题，蛮好的	1
面对鸦绿江大桥,附望远镜,还有飞镖,设施没话讲!下楼就是风景区很不错!	1
紫霞喜欢至尊宝，至尊宝喜欢白晶晶，白晶晶喜欢齐天大圣，齐天大圣喜欢紫霞，你以为齐天大圣和至尊宝是一个人，但是他们相差了500年。一切都对，除了时间不对。想要救紫霞就必须打败牛魔王，想要打败牛魔王就必须要变成孙悟空，想要变成孙悟空就必须忘掉七情六欲从此不能再有半点沾染。 人生就是这样：想自由地和心爱之人在一起必须要事业有成，想要事业有成就必须要抛弃天真戴上面具，当你变得有能力给心爱之人一切时，却发现找不回最初的自己亦失去了爱的能力。	1
收到货的那瞬间我崩溃了，不知道怎么形容了	0
